Q2_Q2_1,Q2_Q2_2,Q2_Q2_3,Q2_Q2_4,Q2_Q2_5,Q2_Q2_6,Q2_Q2_7,Q2_Q2_8,Q2_Q2_9,Q2_Q2_10,Q2_Q2_11,Q2_Q2_12,Q2_Q2_13,Q3_Q3_1,Q3_Q3_2,Q3_Q3_3,Q3_Q3_4,Q3_Q3_5,Q4_Q4_1,Q4_Q4_2,Q4_Q4_3,Q4_Q4_4,Q4_Q4_5,Q5_Q5_1,Q5_Q5_2,Q5_Q5_3,Q5_Q5_4,Q5_Q5_5,Q7_Q7_1,Q7_Q7_2,Q7_Q7_3,Q7_Q7_4,Q8_Q8_1,Q8_Q8_2,Q10,Q11,Q12,Q13,Q14,Student,Q24,Q17,Q18,Q9
3,4,4,1,4,4,4,3,3,2,0,2,5,1,4,2,2,3,3,4,2,1,3,0,0,3,0,4,0,0,0,0,4,3,1,0,0,0,2,miaborjaac,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,3,5,1,1,4,6,6,6,6,4,6,0,4,5,4,6,5,5,0,6,4,6,2,0,5,4,6,1,4,0,2,6,5,3,0,0,1,2,Yelis3,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Female,Hispanic/Latino,Yes
4,5,3,4,4,5,4,4,5,5,5,4,3,4,4,4,4,2,4,3,4,3,3,4,3,3,5,4,4,4,5,3,5,4,2,2,2,0,4,jorge52an,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
0,3,4,3,0,5,5,3,3,4,4,5,5,5,3,4,4,4,4,3,4,5,3,3,3,4,3,4,3,4,3,2,5,5,1,0,0,0,3,djsanabriac,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,4,4,4,4,5,4,5,4,4,5,4,5,3,3,3,3,3,3,3,4,3,4,3,1,3,1,5,0,1,0,3,3,3,1,0,0,2,5,andfsanchezlem,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,5,4,4,3,6,5,5,5,5,3,4,6,6,5,6,5,5,4,5,5,4,4,1,1,4,1,5,0,5,0,5,5,5,2,0,0,0,4,juasmartinezbel,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,Yes
3,5,5,4,5,5,5,4,5,4,3,4,4,5,4,4,5,3,3,3,4,4,4,4,4,6,4,6,1,5,3,5,6,6,2,0,0,3,2,kgbayala528,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,Yes
4,3,6,4,6,3,6,6,6,6,3,5,2,5,6,6,6,6,6,4,6,4,5,2,2,5,3,6,1,5,1,5,4,4,4,0,0,0,5,JoseMolano,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
0,5,3,1,3,3,6,6,5,6,5,4,4,4,5,4,3,4,5,3,3,3,3,2,3,4,4,6,2,2,2,2,6,5,2,0,0,8,2,daandradec,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Native American/American Indian,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,4,5,1,4,4,6,5,2,5,3,5,3,5,5,6,6,5,4,5,3,4,5,6,1,5,3,6,3,3,1,5,5,4,2,0,0,0,3,CSebasGomez,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
5,2,4,3,1,3,5,4,3,3,4,4,6,4,2,5,3,4,1,3,4,3,5,5,2,4,3,4,0,1,2,3,2,0,1,1,2,3,2,wilson911013,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,6,5,6,5,5,6,5,5,4,5,4,3,5,2,5,4,3,4,4,4,5,2,3,2,3,4,0,1,2,2,3,4,2,0,3,0,8,pcberriop,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,4,4,3,4,5,5,6,4,5,2,4,5,2,5,3,4,5,3,2,5,5,4,1,0,2,0,5,0,2,0,3,5,5,2,0,0,0,2,bdcajicam,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,1,2,1,5,2,ykchautai,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,6,6,4,6,6,6,6,6,6,3,5,3,4,6,4,6,5,4,6,4,3,5,2,1,5,1,5,0,3,3,0,5,6,2,1,0,0,2,ronaldsg20,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,4,4,2,5,4,0,2,5,4,5,4,4,4,3,5,4,3,3,3,3,3,3,3,3,3,4,2,2,2,2,3,3,1,4,2,2,1,jjrodriguezn,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Prefer not to respond,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
6,4,6,1,3,6,5,3,3,6,5,6,6,0,5,5,5,5,3,5,5,1,5,1,5,4,1,4,0,1,0,4,0,0,1,0,0,0,3,stevenbustos,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,6,4,5,4,4,5,5,4,5,0,5,6,5,6,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,3,4,5,5,3,0,0,1,5,jhcardenasa,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,4,5,3,5,4,5,5,5,4,2,5,6,4,4,5,5,5,4,5,4,4,5,4,3,5,3,6,3,3,3,4,5,5,2,0,1,1,10,jmalvarezd,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,3,4,3,4,5,5,4,4,3,3,3,5,4,5,5,5,5,4,5,4,5,4,4,3,4,4,5,3,3,3,3,4,2,2,0,1,1,8,Judgarciani,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,5,6,4,5,5,6,5,5,5,5,4,5,4,5,5,6,4,5,4,5,5,5,4,3,4,5,5,1,2,1,1,4,4,3,5,0,5,3,dasalgadob,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,4,5,1,4,3,6,5,3,4,2,4,6,2,5,4,5,6,1,4,2,1,5,3,1,5,1,5,1,4,1,3,4,3,1,0,0,10,5,debeltranc,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,6,4,4,5,6,4,5,5,5,6,3,5,6,4,6,5,4,4,5,4,5,5,4,5,6,6,4,3,3,3,6,5,3,15,0,1,3,jesusfchavarro,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,5,5,4,4,5,5,5,5,3,6,5,3,4,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,3,3,4,6,5,3,15,0,1,3,jesusfchavarro,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,0,1,0,0,0,4,0,0,1,4,0,6,6,3,5,3,3,5,2,5,5,2,3,2,3,4,4,0,1,0,2,4,4,1,0,0,1,10,macuestap,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,5,3,5,5,6,5,5,5,4,6,3,5,5,5,5,5,5,5,5,5,5,4,3,4,3,4,3,3,3,3,4,4,2,2,0,0,5,janoguerab,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,6,3,0,1,5,4,2,5,3,1,4,5,4,3,2,4,3,4,3,4,3,5,1,2,2,2,1,1,3,3,1,4,3,2,1,0,0,4,ncampuzano,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,6,6,4,6,5,6,6,6,6,2,6,1,5,6,6,6,6,4,4,4,5,6,5,4,6,6,6,4,4,5,5,6,5,4,3,1,39,10,jonatan360,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,6,6,6,4,5,5,5,6,5,0,4,5,5,4,6,5,5,3,5,5,6,5,1,6,5,6,3,3,4,3,6,3,1,0,1,2,8,CamiloRueda,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,0,0,0,0,0,5,2,0,5,4,1,6,4,2,3,1,6,6,5,6,6,6,6,1,4,4,4,4,1,3,4,5,4,1,0,0,0,1,dfhincapiem,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,4,3,3,4,4,6,5,5,5,5,4,4,5,5,6,5,5,2,2,2,2,5,4,5,6,1,5,1,1,1,1,5,4,2,0,0,0,0,JuanitoAli,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
5,5,3,4,3,4,5,5,4,4,3,4,6,5,5,5,5,5,5,5,5,5,5,0,0,4,0,5,0,1,0,1,5,6,2,0,0,30,5,DianaNavarrete,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Female,Prefer not to respond,Yes
5,3,5,3,3,4,4,4,4,4,3,3,6,5,5,5,5,5,3,3,3,3,4,6,4,6,6,6,3,3,4,4,6,6,0,0,0,0,2,wolfstain,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,5,5,3,4,5,5,5,5,3,1,4,5,4,5,5,5,5,4,3,3,3,4,2,1,4,2,5,1,0,1,0,4,4,2,0,0,0,2,ccvacad,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,3,5,2,6,6,4,5,6,5,4,6,6,5,5,4,4,4,5,4,6,4,4,5,5,6,6,4,5,5,6,6,5,2,3,3,0,4,Chranium,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,5,2,3,3,5,5,4,4,4,3,2,5,1,6,5,3,4,2,5,5,3,4,4,1,5,3,5,0,1,0,1,4,3,2,3,0,5,10,cap182,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,3,4,4,4,6,6,5,5,4,5,1,5,6,6,4,6,6,2,5,4,5,5,6,4,6,5,5,4,5,5,6,5,4,15,3,4,3,helmeraac,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,4,3,4,5,3,5,4,5,4,4,3,5,4,5,5,5,5,4,4,3,4,4,3,3,3,3,5,1,2,1,1,4,5,1,0,0,6,4,bdvegat,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,3,3,3,3,3,4,3,1,3,1,2,6,5,3,5,4,5,4,5,3,3,5,5,1,5,5,5,2,1,0,2,5,5,2,0,0,40,3,lizzyt10h,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Female,Hispanic/Latino,Yes
3,4,4,1,3,4,4,3,2,4,0,3,4,2,4,4,4,3,4,4,4,3,4,2,1,3,1,4,1,1,1,3,5,5,1,0,0,5,3,Moimolcp,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,6,6,6,6,6,5,4,5,6,5,5,3,6,5,5,5,5,3,3,4,3,4,5,5,6,3,6,2,3,2,4,4,5,4,1,0,0,3,fevargasmo,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
0,4,5,0,4,5,5,5,5,5,0,5,5,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,1,5,1,1,3,3,2,10,0,60,0,ligibrial,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Female,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,2,2,3,5,3,6,5,4,5,2,4,6,4,5,5,5,4,1,4,4,4,1,5,1,5,1,5,0,2,0,4,5,4,2,0,0,6,3,leguzman,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,3,3,3,4,3,6,5,4,4,3,4,5,3,4,3,5,5,4,3,5,5,5,3,1,4,1,4,0,1,0,2,4,4,2,0,0,5,3,wapiravaguens,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
0,4,0,0,0,4,5,4,3,5,0,4,6,3,3,3,3,3,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,capinillab,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,3,4,4,2,3,4,4,4,3,4,3,5,3,4,4,5,5,2,3,2,3,4,1,0,5,0,5,0,0,0,0,5,5,2,0,0,0,1,jcrubioa,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
6,5,4,4,4,4,5,6,3,5,1,2,3,1,3,3,4,4,5,4,5,3,5,4,4,2,4,4,3,3,4,3,5,6,1,5,5,4,4,davidrh195,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,6,4,4,5,4,5,5,3,4,4,6,5,4,6,4,5,5,5,5,6,6,5,4,3,4,5,5,2,1,3,3,5,6,1,0,5,1,5,oacastillol,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Prefer not to respond,Yes
4,6,5,3,5,6,6,5,5,4,3,3,5,2,5,6,6,5,5,3,5,4,6,4,1,2,2,3,0,1,1,4,4,3,1,0,0,0,3,leavendanoro,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,Yes
4,1,2,0,2,3,6,4,5,4,2,5,4,2,5,5,5,5,2,4,5,1,2,6,1,5,0,5,1,3,0,4,5,4,2,0,0,7,3,Zeugmax,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,3,1,1,2,3,3,2,1,2,3,1,6,2,0,6,4,5,2,4,2,1,5,2,0,5,0,5,0,0,0,0,3,1,1,0,0,10,3,sagilm,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,6,4,5,5,5,6,5,5,6,6,6,5,3,5,5,5,5,5,5,5,5,6,3,3,4,4,4,2,3,2,3,4,4,3,0,0,8,4,DavidQP,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
0,3,5,3,4,3,5,4,4,6,2,4,1,2,4,5,4,4,1,1,6,3,5,1,3,2,0,4,0,3,0,2,4,3,2,6,2,10,3,bsgarciac,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,4,5,1,2,3,6,3,4,3,1,3,5,2,5,5,6,5,2,1,2,2,1,2,0,4,0,3,0,1,0,1,3,4,2,0,0,0,3,jsnarvaezb,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,Yes
4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,1,1,4,1,4,1,1,1,1,4,4,0,0,0,0,4,jscontrerasp,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,3,2,0,4,3,6,3,4,5,0,4,0,5,6,6,6,4,3,4,4,5,5,4,1,4,0,5,0,2,0,2,3,3,1,0,0,6,2,nfmorenog,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,3,4,3,4,2,6,5,3,3,0,6,5,5,6,6,6,6,3,5,1,5,3,2,1,5,2,6,0,0,1,1,4,4,2,0,0,0,4,jcneivaa,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
1,3,3,2,2,3,2,4,2,3,2,3,6,5,5,2,3,3,1,2,2,3,2,0,1,3,0,4,0,5,1,4,6,5,3,0,0,0,3,djguzmanc,"Ingenier’a de software II, Group 2, Camilo Delgado, Tuesdays and Thursdays",Male,Prefer not to respond,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
3,5,4,3,6,4,6,6,4,3,4,3,5,2,4,3,5,3,4,4,4,2,3,1,2,3,2,4,1,3,1,2,2,4,2,0,0,0,3,jhriverasa,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
1,2,1,0,4,1,6,5,0,3,0,1,6,2,6,4,5,3,3,5,3,4,3,2,0,3,0,2,0,0,1,0,2,2,2,0,0,0,1,dagofonseca,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,4,4,4,5,6,6,5,5,2,4,6,4,4,5,4,5,5,4,5,3,5,3,4,3,4,6,2,4,2,2,5,5,2,6,2,0,5,cdcordobaa,"Ingenier’a de software II, Group 1, Camilo Delgado, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,6,3,5,5,6,6,6,6,3,5,3,6,5,5,5,6,3,5,4,0,6,5,1,6,3,6,0,3,0,3,6,6,3,8,3,4,2,aldiazve,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
2,3,4,3,3,4,5,5,5,4,3,4,3,5,4,3,4,4,4,5,4,5,3,1,0,4,1,5,0,1,0,3,3,1,1,0,0,0,0,Phoenixest,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
4,5,6,4,6,4,5,6,6,4,4,4,5,4,4,5,5,5,5,3,5,5,3,4,4,3,5,6,4,3,4,4,6,6,2,0,0,0,2,sarizag,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
6,4,5,1,2,5,6,4,5,3,1,4,6,1,5,2,6,4,1,1,1,6,1,4,2,0,5,6,1,0,0,3,5,5,3,1,0,8,1,fffeelipe,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Male,Hispanic/Latino,Yes
5,5,6,3,6,5,5,5,5,5,2,5,5,5,2,6,2,5,6,6,6,6,6,0,3,5,4,5,1,1,1,2,3,5,2,0,0,0,1,gsuarezc04,"Ingenier’a de software I, Group 1, Yury Ni–o, Mondays and Wednesdays",Female,Multiracial,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
6,6,6,4,6,6,6,6,6,6,4,5,6,3,3,3,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,2,2,0,0,1,xdanielsb,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,Yes
0,3,2,2,5,4,6,5,5,4,3,4,5,5,4,4,3,4,5,2,4,5,4,5,4,4,6,6,5,4,5,3,6,4,1,0,0,0,3,spenas,"Ingenier’a de software I, Group 2, Jairo Aponte, Tuesdays (454-403) and Thursdays (401-103)",Male,Hispanic/Latino,"Have you participated in any programming competition before (e.g. Topcoder.com, local hacking events etc.)?"
