,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2,bogota-1,bogota-0
9,0 files changed,,,annipi,0,0,0,0,0,0,1
13,6 files changed, 69 insertions(+), 105 deletions(-),bsgarciac,6,69,105,0,0,0,1
14,2 files changed, 2 insertions(+), 2 deletions(-),camilo654,2,2,2,0,0,0,1
15,1 file changed, 5 insertions(+), 1 deletion(-),camilo13152,1,5,1,0,0,0,1
16,0 files changed,,,CamiloRueda,0,0,0,0,0,0,1
17, 0 files changed,,,cap182,0,0,0,0,0,0,1
18, 3 files changed, 102 insertions(+), 131 deletions(-),capinillab,3,102,131,0,0,0,1
22, 0 files changed,,,cdcordobaa,0,0,0,0,0,0,1
28, 0 files changed,,,CristianLozano,0,0,0,0,0,0,1
42, 2 files changed, 31 insertions(+), 56 deletions(-),DglyP,2,31,56,0,0,0,1
53, 6 files changed, 78 insertions(+), 168 deletions(-),fffeelipe,6,78,168,0,0,0,1
54, 0 files changed,,,fmbernalb,0,0,0,0,0,0,1
55, 1 file changed,,,gabi04,1,0,0,0,0,0,1
63, 2 files changed, 10 insertions(+), 13 deletions(-),hsmartineza,2,10,13,0,0,0,1
68, 0 files changed,,,janoguerab,0,0,0,0,0,0,1
69, 0 files changed,,,jcneivaa,0,0,0,0,0,0,1
72, 0 files changed,,,jdsolanos,0,0,0,0,0,0,1
73, 0 files changed,,,jdsuarezj,0,0,0,0,0,0,1
81, 4 files changed, 4 insertions(+), 7 deletions(-)  1 ,jjrodriguezn,4,4,7,0,0,0,1
83, 1 file changed, 9 insertions(+), 26 deletions(-),jmcuestasb,1,9,26,0,0,0,1
89, 1 file changed, 26 insertions(+), 3 deletions(-),JoseMolano,1,26,3,0,0,0,1
94, 0 files changed,,,juandavidro,0,0,0,0,0,0,1
95, 1 file changed,,,juanescai,1,0,0,0,0,0,1
100, 2 files changed, 31 insertions(+), 45 deletions(-),Judgarciani,2,31,45,0,0,0,1
107, 3 files changed, 259 insertions(+), 371 deletions(-),katherinsb,3,259,371,0,0,0,1
111, 1 file changed, 1 insertion(+), 4 deletions(-),leavendanoro,1,1,4,0,0,0,1
114, 2 files changed, 2 insertions(+), 5 deletions(-),lfvalderrama,2,2,5,0,0,0,1
124, 0 files changed,,,maikellPardoA,0,0,0,0,0,0,1
128, 2 files changed, 81 insertions(+), 136 deletions(-),mnguzmanc,2,81,136,0,0,0,1
129, 0 files changed,,,MogGy94,0,0,0,0,0,0,1
130, 2 files changed, 36 insertions(+), 62 deletions(-),Moimolcp,2,36,62,0,0,0,1
135, 0 files changed,,,NicolasZon,0,0,0,0,0,0,1
137, 0 files changed,,,odprietoh,0,0,0,0,0,0,1
141, 1 file changed, 2 insertions(+),,pcberriop,1,2,0,0,0,0,1
143, 0 files changed,,,pipemax85,0,0,0,0,0,0,1
146, 1 file changed, 6 insertions(+), 11 deletions(-),sacastroc,1,6,11,0,0,0,1
155, 0 files changed,,,UNhcrodriguezl,0,0,0,0,0,0,1
163, 0 files changed,,,yocuervoc,0,0,0,0,0,0,1
