,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3
1, 3 files changed, 112 insertions(+), 75 deletions(-),adriel62,3,112,75,1
2, 3 files changed, 70 insertions(+), 24 deletions(-),afceballosr,3,70,24,1
3, 0 files changed,,,AFelipeGA,0,0,0,1
4, 0 files changed,,,afforeroc,0,0,0,1
19, 1 file changed, 83 insertions(+), 54 deletions(-),capinzor,1,83,54,1
20, 0 files changed,,,cccristanchoc,0,0,0,1
24, 0 files changed,,,Chranium,0,0,0,1
31, 4 files changed, 1 insertion(+), 11 deletions(-),dagofonseca,4,1,11,1
33, 0 files changed,,,Danielsv9207,0,0,0,1
35, 4 files changed, 448 insertions(+), 642 deletions(-),davidh17,4,448,642,1
36, 2 files changed, 1 insertion(+), 4 deletions(-),DavidQP,2,1,4,1
39, 0 files changed,,,dduartec,0,0,0,1
43, 0 files changed,,,DianaNavarrete,0,0,0,1
51, 0 files changed,,,feartheGru,0,0,0,1
71, 0 files changed,,,jdmonroyg,0,0,0,1
76, 0 files changed,,,JhonEmmanuelTorres,0,0,0,1
82, 0 files changed,,,jmalvarezd,0,0,0,1
88, 1 file changed, 4 deletions(-),,jorge52an,1,4,0,1
90, 2 files changed, 39 insertions(+), 118 deletions(-),jscastelblancoh,2,39,118,1
99, 1 file changed, 25 insertions(+), 175 deletions(-),juclopezso,1,25,175,1
103, 1 file changed, 29 insertions(+), 37 deletions(-),juligarji,1,29,37,1
104, 1 file changed, 1 deletion(-),,jumcorredorro,1,1,0,1
108, 0 files changed,,,kgbayala528,0,0,0,1
110, 5 files changed, 61 insertions(+), 294 deletions(-),lacardenasv,5,61,294,1
113, 4 files changed, 26 insertions(+), 246 deletions(-),lemartinp,4,26,246,1
115, 2 files changed, 14 insertions(+), 34 deletions(-),lgmoralesa,2,14,34,1
118, 4 files changed, 31 insertions(+), 53 deletions(-),lizzyt10h,4,31,53,1
122, 1 file changed, 1 insertion(+), 7 deletions(-),macuestap,1,1,7,1
125, 4 files changed, 4 insertions(+), 3 deletions(-),mballeng91,4,4,3,1
132, 0 files changed,,,ncampuzano,0,0,0,1
133, 1 file changed, 1 deletion(-),,nfmorenog,1,1,0,1
134, 4 files changed, 106 insertions(+), 285 deletions(-),NicolasPrr,4,106,285,1
136, 2 files changed, 6 insertions(+), 67 deletions(-),oacastillol,2,6,67,1
139, 0 files changed,,,ofnanezn,0,0,0,1
145, 11 files changed, 37 insertions(+), 70 deletions(-),ronaldsg20,11,37,70,1
148, 1 file changed, 12 insertions(+), 870 deletions(-),sarizag,1,12,870,1
150, 1 file changed, 94 insertions(+), 263 deletions(-),smarquezo,1,94,263,1
151, 0 files changed,,,spenas,0,0,0,1
152, 1 file changed, 1 insertion(+), 1 deletion(-),srmedinac,1,1,1,1
157, 2 files changed, 12 insertions(+), 16 deletions(-),wapiravaguens,2,12,16,1
158, 2 files changed,,,wilson911013,2,0,0,1
