,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2,bogota-1,bogota-0
9, 0 files changed,,,annipi,0,0,0,0,0,0,1
13, 8 files changed,,,bsgarciac,8,0,0,0,0,0,1
14, 5 files changed, 55 insertions(+), 77 deletions(-),camilo654,5,55,77,0,0,0,1
15, 21 files changed,,,camilo13152,21,0,0,0,0,0,1
16, 7 files changed,,,CamiloRueda,7,0,0,0,0,0,1
17, 0 files changed,,,cap182,0,0,0,0,0,0,1
18, 5 files changed, 23 insertions(+), 196 deletions(-),capinillab,5,23,196,0,0,0,1
22, 1 file changed, 3 insertions(+), 41 deletions(-),cdcordobaa,1,3,41,0,0,0,1
28, 1 file changed,,,CristianLozano,1,0,0,0,0,0,1
42, 8 files changed, 47 insertions(+), 156 deletions(-),DglyP,8,47,156,0,0,0,1
53, 18 files changed, 92 insertions(+), 249 deletions(-),fffeelipe,18,92,249,0,0,0,1
54, 0 files changed,,,fmbernalb,0,0,0,0,0,0,1
55, 8 files changed,,,gabi04,8,0,0,0,0,0,1
63, 7 files changed, 36 insertions(+), 158 deletions(-),hsmartineza,7,36,158,0,0,0,1
69, 0 files changed,,,jcneivaa,0,0,0,0,0,0,1
72, 0 files changed,,,jdsolanos,0,0,0,0,0,0,1
73, 11 files changed, 36 insertions(+), 85 deletions(-),jdsuarezj,11,36,85,0,0,0,1
81, 9 files changed,,,jjrodriguezn,9,0,0,0,0,0,1
83, 7 files changed, 7 deletions(-),,jmcuestasb,7,7,0,0,0,0,1
89, 7 files changed, 19 insertions(+), 56 deletions(-),JoseMolano,7,19,56,0,0,0,1
94, 2 files changed, 292 insertions(+), 35 deletions(-),juandavidro,2,292,35,0,0,0,1
95, 4 files changed,,,juanescai,4,0,0,0,0,0,1
100, 4 files changed, 13 insertions(+), 24 deletions(-),Judgarciani,4,13,24,0,0,0,1
107, 6 files changed,,,katherinsb,6,0,0,0,0,0,1
111, 4 files changed, 17 insertions(+), 38 deletions(-),leavendanoro,4,17,38,0,0,0,1
114, 6 files changed, 8 insertions(+), 11 deletions(-),lfvalderrama,6,8,11,0,0,0,1
124, 1 file changed,,,maikellPardoA,1,0,0,0,0,0,1
128, 3 files changed, 43 insertions(+), 144 deletions(-),mnguzmanc,3,43,144,0,0,0,1
129, 0 files changed,,,MogGy94,0,0,0,0,0,0,1
130, 2 files changed, 41 insertions(+), 105 deletions(-),Moimolcp,2,41,105,0,0,0,1
135, 2 files changed, 3 insertions(+), 7 deletions(-),NicolasZon,2,3,7,0,0,0,1
137, 0 files changed,,,odprietoh,0,0,0,0,0,0,1
141, 2 files changed, 4 insertions(+), 2 deletions(-),pcberriop,2,4,2,0,0,0,1
143, 2 files changed, 31 insertions(+), 58 deletions(-),pipemax85,2,31,58,0,0,0,1
146, 7 files changed, 8 insertions(+), 15 deletions(-),sacastroc,7,8,15,0,0,0,1
155, 2 files changed,,,UNhcrodriguezl,2,0,0,0,0,0,1
163, 0 files changed,,,yocuervoc,0,0,0,0,0,0,1
