,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3,bogota-2,bogota-1,bogota-0
9, 0 files changed,,,annipi,0,0,0,0,0,0,1
13, 5 files changed, 121 insertions(+), 1279 deletions(-),bsgarciac,5,121,1279,0,0,0,1
14, 6 files changed, 60 insertions(+), 115 deletions(-),camilo654,6,60,115,0,0,0,1
15, 3 files changed, 12 insertions(+), 21 deletions(-),camilo13152,3,12,21,0,0,0,1
16, 0 files changed,,,CamiloRueda,0,0,0,0,0,0,1
17, 0 files changed,,,cap182,0,0,0,0,0,0,1
18, 4 files changed, 53 insertions(+), 109 deletions(-),capinillab,4,53,109,0,0,0,1
22, 1 file changed, 1 insertion(+), 1 deletion(-),cdcordobaa,1,1,1,0,0,0,1
28, 0 files changed,,,CristianLozano,0,0,0,0,0,0,1
42, 10 files changed, 15 insertions(+), 52 deletions(-),DglyP,10,15,52,0,0,0,1
53, 17 files changed, 87 insertions(+), 202 deletions(-),fffeelipe,17,87,202,0,0,0,1
54, 0 files changed,,,fmbernalb,0,0,0,0,0,0,1
55, 0 files changed,,,gabi04,0,0,0,0,0,0,1
63, 6 files changed, 29 insertions(+), 66 deletions(-),hsmartineza,6,29,66,0,0,0,1
68, 0 files changed,,,janoguerab,0,0,0,0,0,0,1
69, 0 files changed,,,jcneivaa,0,0,0,0,0,0,1
72, 0 files changed,,,jdsolanos,0,0,0,0,0,0,1
73, 0 files changed,,,jdsuarezj,0,0,0,0,0,0,1
81, 2 files changed, 67 insertions(+), 13 deletions(-),jjrodriguezn,2,67,13,0,0,0,1
83, 1 file changed, 9 deletions(-),,jmcuestasb,1,9,0,0,0,0,1
89, 1 file changed, 1 insertion(+), 2 deletions(-),JoseMolano,1,1,2,0,0,0,1
94, 1 file changed, 32 insertions(+), 33 deletions(-),juandavidro,1,32,33,0,0,0,1
95, 1 file changed,,,juanescai,1,0,0,0,0,0,1
100, 2 files changed, 130 insertions(+), 172 deletions(-),Judgarciani,2,130,172,0,0,0,1
107, 4 files changed,,,katherinsb,4,0,0,0,0,0,1
111, 1 file changed, 3 deletions(-),,leavendanoro,1,3,0,0,0,0,1
114, 6 files changed, 1 insertion(+), 1 deletion(-),lfvalderrama,6,1,1,0,0,0,1
124, 1 file changed,,,maikellPardoA,1,0,0,0,0,0,1
128, 2 files changed, 65 insertions(+), 39 deletions(-),mnguzmanc,2,65,39,0,0,0,1
129, 0 files changed,,,MogGy94,0,0,0,0,0,0,1
130, 1 file changed, 20 insertions(+), 31 deletions(-),Moimolcp,1,20,31,0,0,0,1
135, 0 files changed,,,NicolasZon,0,0,0,0,0,0,1
137, 0 files changed,,,odprietoh,0,0,0,0,0,0,1
141, 0 files changed,,,pcberriop,0,0,0,0,0,0,1
143, 0 files changed,,,pipemax85,0,0,0,0,0,0,1
146, 2 files changed, 39 insertions(+), 52 deletions(-),sacastroc,2,39,52,0,0,0,1
155, 0 files changed,,,UNhcrodriguezl,0,0,0,0,0,0,1
163, 0 files changed,,,yocuervoc,0,0,0,0,0,0,1
