,change,addition,delete,username,change-revised,add-revised,delete-revised,bogota-3
1, 3 files changed, 67 insertions(+), 41 deletions(-),adriel62,3,67,41,1
2, 0 files changed,,,afceballosr,0,0,0,1
3, 0 files changed,,,AFelipeGA,0,0,0,1
4, 3 files changed, 14 insertions(+), 111 deletions(-),afforeroc,3,14,111,1
19, 2 files changed, 16 insertions(+), 15 deletions(-),capinzor,2,16,15,1
20, 5 files changed, 2 insertions(+), 38 deletions(-),cccristanchoc,5,2,38,1
24, 1 file changed, 5 insertions(+), 5 deletions(-),Chranium,1,5,5,1
31, 1 file changed, 11 insertions(+), 16 deletions(-),dagofonseca,1,11,16,1
33, 0 files changed,,,Danielsv9207,0,0,0,1
35, 3 files changed, 55 insertions(+), 54 deletions(-),davidh17,3,55,54,1
36, 2 files changed, 28 insertions(+), 44 deletions(-),DavidQP,2,28,44,1
39, 2 files changed, 21 insertions(+), 23 deletions(-),dduartec,2,21,23,1
43, 9 files changed,,,DianaNavarrete,9,0,0,1
51, 2 files changed, 6 insertions(+), 234 deletions(-),feartheGru,2,6,234,1
71, 0 files changed,,,jdmonroyg,0,0,0,1
76, 0 files changed,,,JhonEmmanuelTorres,0,0,0,1
82, 3 files changed, 16 insertions(+), 34 deletions(-),jmalvarezd,3,16,34,1
88, 1 file changed, 18 insertions(+), 88 deletions(-),jorge52an,1,18,88,1
90, 2 files changed, 57 insertions(+), 238 deletions(-),jscastelblancoh,2,57,238,1
99, 1 file changed, 25 insertions(+), 300 deletions(-),juclopezso,1,25,300,1
103, 4 files changed, 162 insertions(+), 290 deletions(-),juligarji,4,162,290,1
104, 1 file changed, 29 insertions(+), 35 deletions(-),jumcorredorro,1,29,35,1
108, 2 files changed, 8 insertions(+), 88 deletions(-),kgbayala528,2,8,88,1
110, 5 files changed, 30 insertions(+), 108 deletions(-),lacardenasv,5,30,108,1
113, 4 files changed, 26 insertions(+), 248 deletions(-),lemartinp,4,26,248,1
115, 2 files changed, 88 insertions(+), 89 deletions(-),lgmoralesa,2,88,89,1
118, 6 files changed, 17 insertions(+), 18 deletions(-),lizzyt10h,6,17,18,1
122, 2 files changed, 9 insertions(+), 13 deletions(-),macuestap,2,9,13,1
125, 4 files changed, 4 insertions(+), 3 deletions(-),mballeng91,4,4,3,1
132, 15 files changed, 191 insertions(+), 263 deletions(-),ncampuzano,15,191,263,1
133, 2 files changed, 5 insertions(+), 6 deletions(-),nfmorenog,2,5,6,1
134, 5 files changed, 41 insertions(+), 49 deletions(-),NicolasPrr,5,41,49,1
136, 3 files changed, 3 insertions(+), 79 deletions(-),oacastillol,3,3,79,1
139, 2 files changed, 14 insertions(+), 6 deletions(-),ofnanezn,2,14,6,1
145, 8 files changed, 27 insertions(+), 70 deletions(-),ronaldsg20,8,27,70,1
148, 3 files changed, 19 insertions(+), 55 deletions(-),sarizag,3,19,55,1
150, 1 file changed, 94 insertions(+), 608 deletions(-),smarquezo,1,94,608,1
151, 0 files changed,,,spenas,0,0,0,1
152, 1 file changed, 3 insertions(+), 3 deletions(-),srmedinac,1,3,3,1
157, 2 files changed, 21 insertions(+), 33 deletions(-),wapiravaguens,2,21,33,1
158, 2 files changed,,,wilson911013,2,0,0,1
