username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,novelty4,novelty_normal4,novelty_per4,novelty3,novelty_normal3,novelty_per3,novelty2,novelty_normal2,novelty_per2,novelty1,novelty_normal1,novelty_per1,total_raw4,total_norm4,total_norm_per4,total_raw3,total_norm3,total_norm_per3,total_raw2,total_norm2,total_norm_per2,total_raw1,total_norm1,total_norm_per1
ko68,honors0,IH-Project-2017-ko68_webapp_phase5,Wed Nov 22 08:30:39 2017,1,4,"Required Weather API, New York City Leading Causes of Death, Zillow Home Value Searching API, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,d3,jquery,",0.005102041,99.48979592,10,100,85.19%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,44.44%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.39130435,44.44%,11,2.444444444,85.19%,"3.0,1.0,2.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;",25,236.7168491,74.07%,7,1.555555556,74.07%,7,1.555555556,81.48%,6,1.333333333,81.48%,3,0.666666667,88.89%,20,227.0767412,74.07%,20,227.061117,85.19%,20,235.5533541,92.59%,15,217.353746,96.30%
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase5,Wed Nov 22 08:30:39 2017,1,8,"Air Quality, New York Safety, New York State Career Centers, New York neighborhood, New York City Museums, School Safety Report, New York City Farmers Markets, Required Weather API, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.02310231,97.68976898,10,100,81.48%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.04347826,22.22%,16,3.555555556,92.59%,"2.0,0.0,0.0,;3.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;2.0,0.0,0.0,;3.0,0.0,0.0,;",29,227.3322811,55.56%,16,3.555555556,92.59%,0,0,0.00%,0,0,0.00%,0,0,0.00%,30,233.8509848,77.78%,12,211.086957,62.96%,12,210.1040505,74.07%,4,135.362319,7.41%
gshowal,honors0,IH-Project-2017-gshowal_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"d3,bootstrap,jquery,",0.016111708,98.38882922,9,90,59.26%,"1,1,1,1,0,1,1,1,1,",5,100,88.89%,"1.0,1.0,1.0,1.0,1.0,",4,22.22222222,62.96%,"1.0,1.0,1.0,1.0,0.0,0.0,",9,39.13043478,85.19%,5,1.111111111,62.96%,"3.0,1.0,1.0,;",23,267.7608099,85.19%,3,0.666666667,29.63%,3,0.666666667,44.44%,0,0,0.00%,0,0,0.00%,15,215.0060504,55.56%,16,223.394481,74.07%,3,0,0.00%,3,0,0.00%
Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase5,Wed Nov 22 08:30:39 2017,1,6,"New York City Art Galleries, Fire Department Directory for New York State, New York City Museums, Bank-Owned ATM Locations in New York State, Required Weather API, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,",0.006122449,99.3877551,10,100,96.30%,"1,1,1,1,1,1,1,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043,70.37%,24,5.333333333,96.30%,"1.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;2.0,1.0,2.0,;3.0,0.0,0.0,;1.0,1.0,2.0,;",39,248.1993493,85.19%,11,2.444444444,92.59%,3,0.666666667,85.19%,3,0.666666667,81.48%,3,0.666666667,96.30%,24,226.5914599,92.59%,15,215.770017,88.89%,15,215.7502787,88.89%,15,214.684658,96.30%
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,8,85.9627329,3.70%
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase5,Wed Nov 22 08:30:39 2017,0,3,"NYCHA Development Data Book, NYC City Hall Library Catalog, New York City Museums, ",1,0,1,0,0,0,1,1,"d3,bootstrap,jquery,",0.014925373,98.50746269,5,50,59.26%,"0,1,0,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",3,16.66666667,66.67%,"0.0,0.0,2.0,0.0,1.0,0.0,",4,17.39130435,66.67%,7,1.555555556,81.48%,"3.0,1.0,1.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",16,184.8456269,55.56%,6,1.333333333,81.48%,1,0.222222222,74.07%,0,0,0.00%,0,0,0.00%,13,168.7246377,70.37%,9,176.309179,62.96%,3,126.6666667,3.70%,7,164.545455,70.37%
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,0,0,0,0,0,0,,0,100,1,10,0.00%,"0,0,0,0,0,0,0,0,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,1,110,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,1,110,0.00%,1,110,0.00%,1,110,0.00%,0,0,0.00%
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase5,Wed Nov 22 08:30:39 2017,0,2,"New York City Museums, Zillow Home Value Searching API, ",0,1,1,0,0,0,1,1,"d3,animate,bootstrap,jquery,",0.037099494,96.29005059,5,50,44.44%,"0,0,1,1,0,0,0,1,1,",1,20,44.44%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222,70.37%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043,70.37%,10,2.222222222,85.19%,"1.0,1.0,2.0,;3.0,1.0,2.0,;",20,191.9905337,66.67%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,3,126.6666667,3.70%,4,137.619048,33.33%
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,0,0,0.00%,3,0.666666667,81.48%,0,0,0.00%,3,126.6666667,3.70%,3,126.666667,3.70%,13,191.7536232,74.07%,6,150.191304,48.15%
criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase5,Wed Nov 22 08:30:39 2017,1,1,"Required Weather API, ",1,1,1,1,0,0,1,1,"bootstrap,jquery,",0.008241758,99.17582418,8,80,85.19%,"1,1,1,1,1,0,0,1,1,",2,40,92.59%,"1.0,0.0,1.0,0.0,0.0,",6,33.33333333,88.89%,"2.0,1.0,1.0,1.0,1.0,0.0,",8,34.7826087,92.59%,3,0.666666667,66.67%,"3.0,0.0,0.0,;",19,249.4077082,88.89%,0,0,0.00%,1,0.222222222,74.07%,0,0,0.00%,0,0,0.00%,7,167.4136009,66.67%,11,195.768508,77.78%,8,178.3606557,66.67%,9,187.056308,81.48%
dieguischa,unal0,IH-Project-2017-dieguischa_webapp_phase5,Wed Nov 22 08:30:39 2017,0,0,,0,0,1,0,0,0,1,0,,0.033333333,96.66666667,3,30,3.70%,"0,0,0,1,0,0,0,1,0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0,0.00%,0,0,0.00%,,3,126.6666667,3.70%,0,0,0.00%,21,4.666666667,96.30%,0,0,0.00%,0,0,0.00%,3,126.6666667,3.70%,34,227.791571,92.59%,3,126.6666667,3.70%,7,161.449275,66.67%
