,Student,Group,user-requirement-phase5,infovis-phase5,novelty-phase5,total-phase5,tech-phase5,tech-phase4,user-requirement-phase4,infovis-phase4,novelty-phase4,total-phase4,tech-phase3,user-requirement-phase3,infovis-phase3,novelty-phase3,total-phase3,tech-phase2,user-requirement-phase2,infovis-phase2,novelty-phase2,total-phase2,tech-phase1,user-requirement-phase1,infovis-phase1,novelty-phase1,total-phase1,improve-ur-12,improve-ur-23,improve-ur-34,improve-ur-45,improve-ur-15,improve-ur-25,improve-vis-12,improve-vis-23,improve-vis-34,improve-vis-45,improve-vis-15,improve-vis-25,improve-novel-12,improve-novel-23,improve-novel-34,improve-novel-45,improve-novel-15,improve-novel-25,improve-tech-12,improve-tech-23,improve-tech-34,improve-tech-45,improve-tech-25,improve-tech-15,improve-total-12,improve-total-23,improve-total-34,improve-total-45,improve-total-15,improve-total-25,improve-sum-ur,improve-sum-vis,improve-sum-novel,improve-sum-tech,add-loc-12,delete-loc-12,change-files-12,add-loc-15,delete-loc-15,change-files-15,add-loc-23,delete-loc-23,change-files-23,add-loc-34,delete-loc-34,change-files-34,add-loc-45,delete-loc-45,change-files-45,add-loc-25,delete-loc-25,change-files-25,add-loc-sum,improve-effort-12,improve-effort-23,improve-effort-34,improve-effort-45,improve-effort-15,improve-effort-25,functions,unique,len_unique,len_functions
10,pcberriop,0.0,20.0,37.5,62.5,195.0,75.0,50.0,20.0,33.33,62.5,165.83,50.0,20.0,33.33,62.5,165.83,50.0,20.0,33.33,62.5,165.83,12.5,40.0,25.0,0.0,77.5,-20.0,0.0,0.0,0.0,-20.0,0.0,8.329999999999998,0.0,0.0,4.170000000000002,12.5,4.170000000000002,62.5,0.0,0.0,0.0,62.5,0.0,37.5,0.0,0.0,25.0,25.0,62.5,88.33000000000001,0.0,0.0,29.169999999999987,117.5,29.169999999999987,-20.0,12.5,62.5,62.5,3.0,1.0,1.0,4.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,7.0,2.5,2.0,0.0,2.0,3.0,0.5,"['unal.edu.co', 'bootstrap.min.css', 'template.css', 'warning.js', 'Respond.js', 'shiv.min.js', 'respond.min.js', '.nav', 'U.Illinois', 'maps.js', '.container', 'jquery.min.js', 'window.jQuery', 'document.write', 'bootstrap.min.js', 'workaround.js', 'transition.js', 'alert.js', 'button.js', 'carousel.js', 'collapse.js', 'dropdown.js', 'modal.js', 'tooltip.js', 'popover.js', 'scrollspy.js', 'tab.js', 'affix.js', 'document.getElementById', 'google.maps.LatLng', 'google.maps.Map', 'google.maps.Marker', 'google.maps.Animation.BOUNCE', 'marker.setMap']","['unal.edu.co' 'bootstrap.min.css' 'template.css' 'warning.js'
 'Respond.js' 'shiv.min.js' 'respond.min.js' '.nav' 'U.Illinois' 'maps.js'
 '.container' 'jquery.min.js' 'window.jQuery' 'document.write'
 'bootstrap.min.js' 'workaround.js' 'transition.js' 'alert.js' 'button.js'
 'carousel.js' 'collapse.js' 'dropdown.js' 'modal.js' 'tooltip.js'
 'popover.js' 'scrollspy.js' 'tab.js' 'affix.js' 'document.getElementById'
 'google.maps.LatLng' 'google.maps.Map' 'google.maps.Marker'
 'google.maps.Animation.BOUNCE' 'marker.setMap']",34.0,34.0
11,hsmartineza,0.0,20.0,33.33,52.5,180.83,75.0,62.5,20.0,37.5,56.25,176.25,50.0,60.0,45.83,75.0,230.83,37.5,20.0,29.17,0.0,86.67,0.0,0.0,0.0,0.0,0.0,20.0,40.0,-40.0,0.0,20.0,0.0,29.17,16.659999999999997,-8.329999999999998,-4.170000000000002,33.33,4.159999999999997,0.0,75.0,-18.75,-3.75,52.5,52.5,37.5,12.5,12.5,12.5,37.5,75.0,86.67,144.16000000000003,-54.58000000000001,4.5800000000000125,180.83,94.16000000000001,20.0,33.33,52.5,75.0,2.0,7.0,2.0,36.0,158.0,7.0,30.0,63.0,1.0,29.0,66.0,6.0,10.0,13.0,2.0,11.0,9.0,1.0,71.0,-1.5,-1.5,-4.0,3.5,-43.0,6.5,"['jquery.min.js', '.js', 'info.js', 'document.getElementById', 'google.maps.Map', 'data.cityofchicago.org', 'rows.json', 'xmlhttp.open', 'xmlhttp.send', 'xmlhttp.onreadystatechange', 'xmlhttp.readyState', 'xmlhttp.status', 'xmlhttp.responseText', 'JSON.parse', 'dataRental.push', 'json.data', 'wData.push', 'wData.length', 'google.maps.event.addListener', 'google.maps.ElevationService', '.each', 'value.setMap', 'google.maps.LatLng']","['jquery.min.js' '.js' 'info.js' 'document.getElementById'
 'google.maps.Map' 'data.cityofchicago.org' 'rows.json' 'xmlhttp.open'
 'xmlhttp.send' 'xmlhttp.onreadystatechange' 'xmlhttp.readyState'
 'xmlhttp.status' 'xmlhttp.responseText' 'JSON.parse' 'dataRental.push'
 'json.data' 'wData.push' 'wData.length' 'google.maps.event.addListener'
 'google.maps.ElevationService' '.each' 'value.setMap'
 'google.maps.LatLng']",23.0,23.0
12,Moimolcp,0.0,100.0,62.5,66.67,304.17,75.0,62.5,0.0,33.33,25.0,120.83,62.5,20.0,62.5,25.0,170.0,62.5,0.0,33.33,25.0,120.83,25.0,0.0,0.0,0.0,25.0,0.0,20.0,-20.0,100.0,100.0,100.0,33.33,29.17,-29.17,29.17,62.5,29.17,25.0,0.0,0.0,41.67,66.67,41.67,37.5,0.0,0.0,12.5,12.5,50.0,95.83,49.17,-49.17,183.34000000000003,279.17,183.34000000000003,100.0,62.5,66.67,50.0,0.0,0.0,0.0,41.0,105.0,2.0,15.0,42.0,2.0,20.0,31.0,1.0,36.0,62.0,2.0,41.0,105.0,2.0,71.0,0.0,-6.0,4.5,5.0,-11.5,-11.5,"['style.css', 'script.js', 'jquery.min.js', 'google.maps.Map', 'document.getElementById', 'google.maps.InfoWindow', 'google.maps.Marker', 'google.maps.Size', 'marker.addListener', 'infowindow.close', 'infowindow.open', 'marker.get', '.ajax', 'data.cityofchicago.org', 'iimk.json', '.done', 'data.length', 'google.maps.LatLng', '.latitude', '.longitude', '.property', '.address', '.phone', 'select.icon', 'select.setMap', 'this.property', 'this.get', 'this.icon', '.innerHTML', 'this.address', 'this.phone', 'this.distance', 'console.log', 'aux.latitude', 'Math.round', 'xi.json', 'aux.longitude', 'map.setCenter', 'map.c']","['style.css' 'script.js' 'jquery.min.js' 'google.maps.Map'
 'document.getElementById' 'google.maps.InfoWindow' 'google.maps.Marker'
 'google.maps.Size' 'marker.addListener' 'infowindow.close'
 'infowindow.open' 'marker.get' '.ajax' 'data.cityofchicago.org'
 'iimk.json' '.done' 'data.length' 'google.maps.LatLng' '.latitude'
 '.longitude' '.property' '.address' '.phone' 'select.icon'
 'select.setMap' 'this.property' 'this.get' 'this.icon' '.innerHTML'
 'this.address' 'this.phone' 'this.distance' 'console.log' 'aux.latitude'
 'Math.round' 'xi.json' 'aux.longitude' 'map.setCenter' 'map.c']",39.0,39.0
13,CamiloRueda,0.0,0.0,29.17,0.0,54.17,25.0,25.0,20.0,25.0,0.0,70.0,25.0,0.0,25.0,0.0,50.0,37.5,0.0,25.0,0.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-20.0,0.0,0.0,25.0,0.0,0.0,4.170000000000002,29.17,4.170000000000002,0.0,0.0,0.0,0.0,0.0,0.0,37.5,-12.5,0.0,0.0,-12.5,25.0,62.5,-12.5,20.0,-15.829999999999998,54.17,-8.329999999999998,0.0,29.17,0.0,25.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,0.0
14,juanescai,0.0,0.0,25.0,25.0,50.0,0.0,0.0,0.0,25.0,25.0,50.0,0.0,20.0,41.67,0.0,61.67,12.5,0.0,25.0,25.0,62.5,25.0,0.0,25.0,62.5,112.5,0.0,20.0,-20.0,0.0,0.0,0.0,0.0,16.67,-16.67,0.0,0.0,0.0,-37.5,-25.0,25.0,0.0,-37.5,0.0,-12.5,-12.5,0.0,0.0,-12.5,-25.0,-50.0,-0.8299999999999983,-11.670000000000002,0.0,-62.5,-12.5,0.0,0.0,-37.5,-25.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,0.0
15,JoseMolano,0.0,60.0,66.67,75.0,276.67,75.0,87.5,0.0,58.33,70.83,216.67,87.5,60.0,41.67,100.0,289.17,87.5,0.0,33.33,25.0,145.83,87.5,20.0,50.0,37.5,195.0,-20.0,60.0,-60.0,60.0,40.0,60.0,-16.67,8.340000000000003,16.659999999999997,8.340000000000003,16.67,33.34,-12.5,75.0,-29.17,4.170000000000002,37.5,50.0,0.0,0.0,0.0,-12.5,-12.5,-12.5,-49.16999999999999,143.34,-72.50000000000003,60.00000000000003,81.67000000000002,130.84,40.0,16.67,37.5,-12.5,19.0,79.0,4.0,19.0,56.0,7.0,3.0,2.0,5.0,1.0,2.0,1.0,26.0,3.0,1.0,27.0,4.0,5.0,49.0,-20.5,2.0,0.0,24.5,-9.0,25.0,"['document.getElementById', 'google.maps.Map', 'google.maps.Marker']",['document.getElementById' 'google.maps.Map' 'google.maps.Marker'],3.0,3.0
16,maikellPardoA,0.0,0.0,37.5,25.0,87.5,25.0,25.0,0.0,0.0,0.0,25.0,25.0,0.0,33.33,25.0,83.33,37.5,0.0,25.0,25.0,87.5,37.5,0.0,25.0,25.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.329999999999998,-33.33,37.5,12.5,12.5,0.0,0.0,-25.0,25.0,0.0,0.0,0.0,-12.5,0.0,0.0,-12.5,-12.5,0.0,-4.170000000000002,-58.33,62.5,0.0,0.0,0.0,12.5,0.0,-12.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0.0,0.0
17,NicolasZon,0.0,0.0,25.0,25.0,87.5,37.5,37.5,0.0,25.0,25.0,87.5,37.5,0.0,25.0,25.0,87.5,50.0,0.0,25.0,25.0,100.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,37.5,-12.5,0.0,0.0,-12.5,25.0,87.5,-12.5,0.0,0.0,75.0,-12.5,0.0,25.0,25.0,25.0,3.0,7.0,2.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.5,0.0,0.0,0.0,-0.5,0.0,"['lml.jpg', 'google.maps.LatLng', 'google.maps.MapTypeId.ROADMAP', 'google.maps.Map', 'document.getElementById', 'google.maps.Marker', 'google.maps.event.addListener', 'google.maps.event.addDomListener', 'map.setZoom', 'map.setCenter', 'marker.getPosition', 'google.maps.InfoWindow', 'infowindow.open']","['lml.jpg' 'google.maps.LatLng' 'google.maps.MapTypeId.ROADMAP'
 'google.maps.Map' 'document.getElementById' 'google.maps.Marker'
 'google.maps.event.addListener' 'google.maps.event.addDomListener'
 'map.setZoom' 'map.setCenter' 'marker.getPosition'
 'google.maps.InfoWindow' 'infowindow.open']",13.0,13.0
18,camilo654,0.0,20.0,29.17,75.0,199.17,75.0,75.0,60.0,33.33,75.0,243.33,50.0,20.0,29.17,62.5,161.67,62.5,20.0,25.0,87.5,195.0,25.0,20.0,29.17,0.0,74.17,0.0,0.0,40.0,-40.0,0.0,0.0,-4.170000000000002,4.170000000000002,4.159999999999997,-4.159999999999997,0.0,4.170000000000002,87.5,-25.0,12.5,0.0,75.0,-12.5,37.5,-12.5,25.0,0.0,12.5,50.0,120.83,-33.33000000000001,81.66000000000003,-44.160000000000025,124.99999999999999,4.1699999999999875,0.0,0.0,75.0,50.0,0.0,0.0,20.0,55.0,77.0,5.0,0.0,0.0,0.0,60.0,115.0,6.0,2.0,2.0,2.0,28.0,50.0,3.0,62.0,0.0,0.0,2.5,1.0,16.5,3.0,"['.floating', 'document.getElementById', 'google.maps.Map', 'google.maps.Marker']","['.floating' 'document.getElementById' 'google.maps.Map'
 'google.maps.Marker']",4.0,4.0
19,CristianLozano,0.0,20.0,33.33,0.0,90.83,37.5,37.5,60.0,50.0,0.0,147.5,37.5,20.0,29.17,0.0,86.67,50.0,20.0,33.33,0.0,103.33,50.0,20.0,29.17,0.0,99.17,0.0,0.0,40.0,-40.0,0.0,0.0,4.159999999999997,-4.159999999999997,20.83,-16.67,4.159999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.5,0.0,0.0,-12.5,-12.5,4.159999999999997,-16.659999999999997,60.83,-56.67,-8.340000000000003,-12.5,0.0,4.159999999999997,0.0,-12.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['document.getElementById', 'google.maps.Map', 'google.maps.Marker']",['document.getElementById' 'google.maps.Map' 'google.maps.Marker'],3.0,3.0
20,jdsuarezj,0.0,60.0,50.0,87.5,272.5,75.0,75.0,60.0,66.67,75.0,276.67,75.0,60.0,58.33,100.0,293.33,75.0,0.0,25.0,25.0,125.0,62.5,0.0,25.0,75.0,162.5,0.0,60.0,0.0,0.0,60.0,60.0,0.0,33.33,8.340000000000003,-16.67,25.0,25.0,-50.0,75.0,-25.0,12.5,12.5,62.5,12.5,0.0,0.0,0.0,0.0,12.5,-37.5,168.32999999999998,-16.659999999999968,-4.170000000000016,110.0,147.5,60.0,25.0,12.5,12.5,173.0,442.0,3.0,36.0,85.0,11.0,74.0,116.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,253.0,4.0,247.0,-48.0,16.0,0.0,0.0,-6.5,201.5,"['style.css', 'k.jpg', 'code.js', 'google.maps.Map', 'document.getElementById', 'google.maps.MapTypeId.HIBRID', 'google.maps.TrafficLayer', 'map.data.loadGeoJson', 'data.cityofchicago.org', 'xi.geojson', 'map.data.setStyle', 'google.maps.SymbolPath.CIRCLE', 'iimk.geojson', 'google.maps.LatLng', 'google.maps.Marker', 'google.maps.InfoWindow', 'google.maps.event.addListener', 'infowindow.open']","['style.css' 'k.jpg' 'code.js' 'google.maps.Map' 'document.getElementById'
 'google.maps.MapTypeId.HIBRID' 'google.maps.TrafficLayer'
 'map.data.loadGeoJson' 'data.cityofchicago.org' 'xi.geojson'
 'map.data.setStyle' 'google.maps.SymbolPath.CIRCLE' 'iimk.geojson'
 'google.maps.LatLng' 'google.maps.Marker' 'google.maps.InfoWindow'
 'google.maps.event.addListener' 'infowindow.open']",18.0,18.0
21,pipemax85,0.0,20.0,33.33,0.0,115.83,62.5,50.0,20.0,33.33,0.0,103.33,50.0,20.0,33.33,0.0,103.33,50.0,20.0,33.33,0.0,103.33,50.0,20.0,25.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,8.329999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,12.5,8.329999999999998,0.0,0.0,12.5,20.83,12.5,0.0,8.329999999999998,0.0,12.5,31.0,58.0,2.0,31.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,0.0,0.0,0.0,2.0,0.0,"['bootstrap.min.css', 'theme.min.css', 'jquery.min.js', 'bootstrap.min.js', 'stylescss.css', '.js', 'js.org', '.v', '.min.js', 'map.js', 'String.prototype.capitalizeFirstLetter', 'this.charAt', '.toUpperCase', 'this.slice', 'google.maps.Map', 'document.getElementById', 'google.maps.InfoWindow', 'data.cityofchicago.org', 'rows.json', 'xmlhttp.open', 'xmlhttp.send']","['bootstrap.min.css' 'theme.min.css' 'jquery.min.js' 'bootstrap.min.js'
 'stylescss.css' '.js' 'js.org' '.v' '.min.js' 'map.js'
 'String.prototype.capitalizeFirstLetter' 'this.charAt' '.toUpperCase'
 'this.slice' 'google.maps.Map' 'document.getElementById'
 'google.maps.InfoWindow' 'data.cityofchicago.org' 'rows.json'
 'xmlhttp.open' 'xmlhttp.send']",21.0,21.0
